140,42,56,54,52,56,50,51,58,45,44,58,60,54,52,63,62,52,62,47,40,51,55,59,54,65,52,58,47,52,55,61,49
180,74,73,71,71,60,59,50,71,66,65,73,68,72,63,63,76,66,64,79,62,71,68,84,65,68,58,68,69,61,70,63,73
170,70,58,59,73,64,71,72,54,64,74,78,68,67,72,70,73,61,61,67,60,51,67,65,72,66,57,61,69,73,63,78,62
160,75,56,53,57,47,58,64,58,58,60,70,63,59,75,69,63,63,55,61,60,57,62,59,58,54,67,58,61,53,50,64,58
180,70,62,62,71,64,82,83,72,73,70,65,69,71,77,71,71,74,71,80,77,84,59,66,79,75,79,72,71,79,83,67,71
100,40,40,41,33,30,40,43,44,33,45,37,36,40,39,40,39,34,38,40,44,38,30,40,45,33,45,40,38,50,41,47,34
200,72,81,79,73,87,67,74,84,84,81,73,74,58,82,77,94,69,73,78,84,77,77,74,84,73,89,77,84,67,56,68,68
130,66,53,51,60,52,46,41,48,45,52,44,44,55,48,47,53,43,48,56,46,40,51,56,53,44,58,53,41,34,47,46,45
130,57,53,51,54,35,52,59,54,45,53,41,59,50,55,50,48,53,52,55,50,47,57,51,38,54,59,41,47,41,54,46,51
140,55,59,57,53,58,56,49,53,47,57,40,50,54,46,55,56,51,49,60,50,45,55,54,56,46,59,56,42,54,62,50,54
170,65,76,58,61,66,71,68,73,69,62,81,70,67,67,71,65,65,61,70,71,73,63,76,67,64,67,66,61,54,73,69,64
150,63,64,58,60,57,57,61,59,49,52,65,77,60,59,55,58,56,70,61,72,59,57,55,59,67,48,65,51,54,57,64,66
210,78,60,82,86,77,69,84,87,92,83,78,83,63,81,77,80,83,83,73,70,76,89,78,85,79,76,90,69,74,67,83,87
170,69,62,60,78,81,67,69,63,76,66,72,65,69,65,64,66,57,74,67,62,66,74,53,59,67,73,72,71,68,63,62,62
80,31,35,33,37,36,30,32,31,32,34,20,24,26,23,28,26,34,30,30,29,32,25,31,33,33,27,25,32,38,23,29,33
90,33,29,38,38,29,37,29,30,26,36,34,34,33,33,38,51,32,33,40,33,36,31,35,34,29,34,27,32,34,34,36,35
180,60,77,78,62,66,68,70,72,80,70,71,70,66,70,77,66,72,69,72,69,75,67,60,72,69,65,69,80,75,73,67,71
210,74,75,79,84,84,94,80,87,80,79,87,79,88,95,90,79,86,79,69,83,97,85,80,68,73,80,77,78,76,90,82,77
290,106,111,103,108,111,128,98,120,118,107,101,128,108,115,108,128,108,115,120,95,99,108,102,109,126,104,118,120,125,108,110,113
120,47,42,45,38,56,48,46,40,46,53,51,35,46,48,40,47,47,44,46,40,44,47,51,48,49,49,51,43,50,55,40,39
220,85,93,83,74,100,78,78,91,91,96,81,86,82,80,81,69,79,85,83,76,70,75,84,89,79,78,97,83,84,92,91,76
120,48,42,47,40,46,47,48,46,47,45,44,44,44,46,43,55,42,41,37,44,36,50,45,42,46,52,38,55,44,56,45,43
